DayType,Line,Direction,TimePeriod,Trips,Period_Average_Headway
1,207,N,1_Early_AM,10,36.0
1,207,N,2_AM_Peak,18,10.0
1,207,N,3_Mid-Day,21,17.1
1,207,N,4_PM_Peak,19,12.6
1,207,N,5_Night,12,25.0
1,207,S,1_Early_AM,10,36.0
1,207,S,2_AM_Peak,14,12.9
1,207,S,3_Mid-Day,21,17.1
1,207,S,4_PM_Peak,22,10.9
1,207,S,5_Night,15,20.0
1,209,N,1_Early_AM,1,360.0
1,209,N,2_AM_Peak,4,45.0
1,209,N,3_Mid-Day,6,60.0
1,209,N,4_PM_Peak,4,60.0
1,209,N,5_Night,2,150.0
1,209,S,2_AM_Peak,4,45.0
1,209,S,3_Mid-Day,6,60.0
1,209,S,4_PM_Peak,5,48.0
1,209,S,5_Night,2,150.0
1,210,N,1_Early_AM,5,72.0
1,210,N,2_AM_Peak,16,11.3
1,210,N,3_Mid-Day,21,17.1
1,210,N,4_PM_Peak,15,16.0
1,210,N,5_Night,9,33.3
1,210,S,1_Early_AM,5,72.0
1,210,S,2_AM_Peak,13,13.8
1,210,S,3_Mid-Day,20,18.0
1,210,S,4_PM_Peak,20,12.0
1,210,S,5_Night,10,30.0
1,211,N,2_AM_Peak,7,25.7
1,211,N,3_Mid-Day,1,360.0
1,211,N,4_PM_Peak,7,34.3
1,211,S,1_Early_AM,1,360.0
1,211,S,2_AM_Peak,5,36.0
1,211,S,3_Mid-Day,1,360.0
1,211,S,4_PM_Peak,8,30.0
1,212,N,1_Early_AM,6,60.0
1,212,N,2_AM_Peak,26,6.9
1,212,N,3_Mid-Day,31,11.6
1,212,N,4_PM_Peak,18,13.3
1,212,N,5_Night,9,33.3
1,212,S,1_Early_AM,5,72.0
